Rank,Car No,School,Team,Overall (1050),Overall Dynamic (300),Overall Static (350),Cost (100),Design (200),Business Presentation (50),Acceleration (75),Land Manuverability (75),Pulling (75),Suspension & Traction (75),Endurance Race (400),Event Penalty,Tech (50),Register,Passed Tech
1,10,Universite de Sherbrooke,Sherbrooke Racing Team ,968.11,268.89,297.22,68.59,178.63,,71.61,68.76,58.83,69.69,402.00,,50.00,,Pass
2,21,Ecole De Technologie Superieure,ETS Motorsports ,948.65,281.43,266.22,89.73,176.49,,72.54,70.38,67.28,71.23,401.00,,0.00,,Pass
3,97,Univ of Maryland - College Park,Terps Racing ,947.42,277.74,301.68,81.46,170.22,,75.00,71.36,56.69,74.69,368.00,,50.00,,Pass
4,101,Tennessee Tech Univ,TTU Tsunami,923.01,288.50,282.51,69.39,163.12,,70.81,69.71,74.58,73.40,352.00,,50.00,,Pass
5,2,Rochester Institute of Technology,Tigers,919.86,272.11,295.75,66.78,178.97,,71.83,75.00,50.28,75.00,352.00,,50.00,,Pass
6,27,Univ of Louisville,Speed Motorsports,860.27,272.32,235.95,55.71,150.24,,70.77,72.64,58.44,70.47,352.00,,30.00,,Pass
7,90,Univ of Maryland - Baltimore County,No Worries,843.94,262.54,293.40,97.00,156.40,,72.99,68.64,51.01,69.90,288.00,,40.00,,Pass
8,51,Michigan Tech Univ,Blizzard Baja,817.02,191.56,241.46,79.93,161.53,,71.03,0.00,51.96,68.57,384.00,,0.00,,Pass
9,6,Auburn Univ,War Eagle Motorsports ,798.34,270.18,288.16,73.44,164.72,,69.19,71.09,57.06,72.84,240.00,,50.00,,Pass
10,18,Cornell Univ,Big Red Racing ,786.49,273.42,257.07,81.87,175.20,,74.48,67.40,62.51,69.03,256.00,,0.00,,Pass
11,1,Queen's Univ - Ontario Canada,Queen's Baja SAE ,753.92,249.17,280.75,73.31,157.44,,69.65,70.51,45.41,63.60,224.00,,50.00,,Pass
12,16,Northeastern Univ,Northeastern University,742.36,255.36,231.00,81.89,149.11,,66.88,70.17,48.67,69.64,256.00,,0.00,,Pass
13,3,Virginia Tech,Virginia Tech Baja ,738.26,185.54,264.72,64.81,149.91,,62.81,24.59,33.01,65.13,288.00,,50.00,,Pass
14,45,Pittsburg State University,Gorilla 1,716.69,198.17,214.52,82.75,101.77,,66.63,29.59,64.97,36.98,304.00,,30.00,,Pass
15,85,Bucknell Univ,Bucknell,713.87,247.66,226.21,34.77,141.44,,67.92,64.45,64.65,50.64,240.00,,50.00,,Pass
16,59,Univ of Tennessee -Chattanooga,The Racing Mocs ,712.90,215.07,225.83,78.61,147.22,,55.97,64.69,50.00,44.41,272.00,,0.00,,Pass
17,5,Tennessee Tech Univ,TTU Baja ,701.42,151.33,294.09,72.29,171.80,,73.78,7.23,70.32,0.00,256.00,,50.00,,Pass
18,22,Univ of South Florida,Team No-Bull,695.15,261.00,242.15,85.21,156.94,,66.83,74.31,49.86,70.00,192.00,,0.00,,Pass
19,52,Univ of Wyoming,Cowboy Motorsports,692.26,241.94,242.32,73.60,118.72,,64.03,67.80,55.04,55.07,208.00,,50.00,,Pass
20,68,Lehigh Univ,Mountain Hawk Racing ,684.10,264.24,195.86,76.86,69.00,,69.48,65.27,62.96,66.53,224.00,,50.00,,Pass
21,38,Southern Illinois Univ - Edwardville,Cougar Baja ,672.66,201.66,183.00,62.37,120.63,,64.48,27.83,66.77,42.58,288.00,,0.00,,Pass
22,99,Fairmont State Univ,Falcon Racers,670.51,131.41,219.10,75.55,143.55,,64.94,2.05,64.42,0.00,320.00,,0.00,,Pass
23,61,Florida Inst of Tech,Baja Unlimited,667.24,189.07,238.17,71.48,131.69,,68.87,55.01,63.04,2.15,240.00,,35.00,,Pass
24,93,Louisiana State Univ,LSU Baja,665.95,218.19,223.76,36.17,137.59,,64.13,49.41,50.28,54.37,224.00,,50.00,,Pass
25,44,Kansas State Univ,Wildcats,655.55,239.17,160.38,0.00,135.38,,66.45,55.27,62.74,54.71,320.00,64.00,25.00,,Pass
26,19,Univ of Central Florida,The Knight's who say Ni,648.61,224.58,280.03,85.48,144.55,,67.07,68.49,29.68,59.34,144.00,,50.00,,Pass
27,47,Central Michigan Univ,Chippewa Performance II,638.99,255.89,127.10,3.10,74.00,,59.01,68.59,62.96,65.33,256.00,,50.00,,Pass
28,42,LeTourneau Univ,Blacksmith,635.62,193.24,218.38,74.01,144.37,,70.41,69.18,53.65,0.00,224.00,,0.00,,Pass
29,26,Kansas State Univ - Salina,Baja Salina,622.33,138.82,211.51,59.13,117.38,,71.31,5.43,62.08,0.00,272.00,,35.00,,Pass
30,15,Clarkson Univ,Clarkson Baja ,619.30,241.41,265.89,70.88,145.01,,70.27,59.00,57.24,54.90,112.00,,50.00,,Pass
31,28,Georgia Institute of Technology,GT Off-Road ,601.74,243.09,230.65,77.55,153.10,,68.22,69.59,39.31,65.97,128.00,,0.00,,Pass
32,56,US Military Academy,West Point 1,598.78,177.84,244.94,76.13,133.81,,56.39,3.04,66.77,51.64,176.00,,35.00,,Pass
33,7,College of New Jersey,TCNJ Baja ,595.55,204.40,199.15,71.36,127.79,,63.89,59.49,39.14,41.88,192.00,,0.00,,Pass
34,74,Univ of Dayton,UD Flyers ,595.48,166.90,236.58,80.41,131.17,,72.60,40.49,53.81,0.00,192.00,,25.00,,Pass
35,46,Univ of Michigan - Ann Arbor,Maize,589.15,194.75,250.40,80.76,169.64,,68.63,70.89,4.42,50.81,144.00,,0.00,,Pass
36,76,Conestoga College,COBRA ,582.39,196.93,177.46,59.91,117.55,,55.46,53.81,52.48,35.18,208.00,,0.00,,Pass
37,83,Cleveland State Univ,Fenn Foxes,581.47,249.89,107.58,0.00,107.58,,64.20,58.18,59.97,67.54,224.00,,0.00,,Pass
38,9,Clemson Univ,Clemson Baja SAE ,581.44,201.51,171.93,79.52,92.41,,68.15,53.18,51.06,29.12,208.00,,0.00,,Pass
39,66,Miami Univ,Redhawk Racing ,575.20,148.36,186.84,54.15,132.69,,62.91,25.82,59.63,0.00,240.00,,0.00,,Pass
40,39,Wichita State Univ,Shocker Racing ,562.09,163.59,254.50,76.72,127.78,,67.65,46.13,49.81,0.00,144.00,,50.00,,Pass
41,24,Univ of New Orleans,UNO Baja Racing ,540.75,255.50,173.25,51.39,101.86,,69.53,65.04,51.96,68.97,112.00,,20.00,,Pass
42,91,Lake Superior State Univ,Suspension Unlimited,536.68,251.25,157.43,4.00,128.43,,61.28,62.78,62.29,64.90,128.00,,25.00,,Pass
43,43,Lipscomb Univ,Lipscomb Motorsports,535.64,189.80,233.84,70.66,128.18,,70.29,63.06,56.45,0.00,112.00,,35.00,,Pass
44,77,Missouri University of Science and Tech,Miner Baja ,532.11,132.11,192.00,67.89,124.11,,61.35,19.70,51.06,0.00,208.00,,0.00,,Pass
45,14,Purdue Univ - W Lafayette,The Raptor ,530.08,246.59,267.49,66.87,150.62,,66.02,69.59,55.91,55.07,16.00,,50.00,,Pass
46,70,Lamar Univ,LU Baja,529.91,208.41,209.50,70.68,138.82,,66.46,37.81,56.33,47.81,112.00,,0.00,,Pass
47,31,Univ of Michigan - Dearborn,UMD Racing,526.33,213.07,265.26,77.16,138.10,,63.31,46.12,57.43,46.21,48.00,,50.00,,Pass
48,50,North Carolina A & T State Univ,Aggie Racing ,523.05,146.96,200.09,76.90,123.19,,64.01,30.68,52.27,0.00,176.00,,0.00,,Pass
49,94,Univ of Texas - Pan American,Bronco,522.65,129.04,249.61,75.90,123.71,,72.17,19.03,0.00,37.84,144.00,,50.00,,Pass
50,58,New York Inst of Tech,Bad News Bears ,513.83,245.71,188.12,33.49,104.63,,65.50,64.16,60.51,55.54,80.00,,50.00,,Pass
51,23,Univ of Alabama - Tuscaloosa,Red Elephant Racing,504.16,188.74,187.42,74.32,113.10,,67.65,60.78,60.31,0.00,128.00,,0.00,,Pass
52,67,Univ of Alabama - Birmingham,Blazer Motorsports,491.13,148.43,214.70,71.92,142.78,,67.61,27.55,53.27,0.00,128.00,,0.00,,Pass
53,17,Univ of Virginia,Virginia Baja Racing ,490.66,103.28,195.38,67.70,127.68,,59.95,0.00,43.33,0.00,192.00,,0.00,,Pass
54,95,Grand Valley State Univ,Laker Racing,489.07,158.77,186.30,54.61,131.69,,61.94,31.94,64.89,0.00,144.00,,0.00,,Pass
55,36,North Carolina State Univ - Raleigh,Wolfpack Motorsports,481.86,163.76,222.10,85.22,136.88,,70.02,43.88,49.86,0.00,96.00,,0.00,,Pass
56,54,Johns Hopkins Univ,Hopkins Baja,459.30,126.25,221.05,56.23,114.82,,69.01,0.00,57.24,0.00,112.00,,50.00,,Pass
57,82,Rowan Univ,Rowan Motorsports,450.93,152.02,250.91,56.07,144.84,,69.49,19.04,63.49,0.00,48.00,,50.00,,Pass
58,8,West Virginia Univ,Gold Team,449.42,133.19,236.23,69.13,117.10,,68.77,0.00,64.42,0.00,80.00,,50.00,,Pass
59,79,Univ of Tulsa,Tulsa Baja ,448.18,147.18,141.00,13.00,128.00,,69.17,13.28,64.73,0.00,160.00,,0.00,,Pass
60,40,Kettering Univ,Bulldog Racing,446.65,185.88,148.77,30.87,117.90,,60.00,19.40,60.03,46.45,112.00,,0.00,,Pass
61,53,Univ of Tennessee - Knoxville,Team Tennessee ,441.68,151.32,146.36,55.99,90.37,,61.08,47.78,42.46,0.00,144.00,,0.00,,Pass
62,78,Univ of Rochester,University of Rochester Baja ,436.25,176.34,259.91,88.37,121.54,,72.76,55.57,48.01,0.00,0.00,,50.00,,Pass
63,60,Villanova Univ,Wildcat Racing ,422.90,117.75,177.15,62.84,114.31,,67.94,0.00,49.81,0.00,128.00,,0.00,,Pass
64,25,Univ of South Carolina,Gamecock Engineering,401.13,183.52,217.61,72.63,94.98,,54.75,8.67,55.56,64.54,0.00,,50.00,,Pass
65,37,Michigan State Univ,Spartan Off-Road ,384.48,175.98,192.50,35.98,156.52,,65.30,41.01,69.67,0.00,16.00,,0.00,,Pass
66,71,East Carolina Univ,ECU Motorsports ,376.87,110.75,138.12,27.61,110.51,,67.88,0.00,42.87,0.00,128.00,,0.00,,Pass
67,13,Ohio State Univ,Baja Buckeyes ,363.69,118.21,245.48,43.68,151.80,,68.95,0.00,49.26,0.00,0.00,,50.00,,Pass
68,69,Virginia Military Inst,Runnin' Roos,360.73,184.40,112.33,1.00,111.33,,62.79,46.61,75.00,0.00,64.00,,0.00,,Pass
69,64,Univ of Akron,Zips Racing,333.61,146.66,170.95,58.19,112.76,,66.43,29.02,51.21,0.00,16.00,,0.00,,Pass
70,75,Binghamton Univ,Binghamton University ,332.84,111.75,189.09,75.17,113.92,,39.74,48.51,23.50,0.00,32.00,,0.00,,Pass
71,98,Univ of Missouri - Kansas City,UMKC Racing,332.31,128.83,171.48,77.28,94.20,,67.47,0.00,61.36,0.00,32.00,,0.00,,Pass
72,72,Univ of South Alabama,University of South Alabama,315.62,161.07,74.55,0.00,74.55,,57.48,38.94,64.65,0.00,80.00,,0.00,,Pass
73,86,Murray State Univ,Racers Squared,302.41,105.72,180.69,70.90,109.79,,54.71,0.00,51.01,0.00,16.00,,0.00,,Pass
74,57,SUNY Inst of Tech - Utica,Wildcat Motorsports,282.36,217.81,64.55,0.00,54.55,,68.91,51.60,55.56,41.74,0.00,,10.00,,Pass
75,33,Franklin W Olin College of Engineering,Phoenix Racing,276.22,70.27,205.95,53.98,116.97,,58.28,10.53,1.46,0.00,0.00,,35.00,,Pass
76,92,Univ of Arkansas - Fort Smith,Lions,259.81,178.38,81.43,4.00,77.43,,69.09,58.13,51.16,0.00,0.00,,0.00,,Pass
77,80,Escuela Sup De Ing Automotriz Tlalnepa,ESIA RACING TEAM,258.97,121.30,105.67,54.67,51.00,,62.11,9.93,49.26,0.00,32.00,,0.00,,Pass
78,73,Universidad Autonoma Estado Mexico,Escuderia Sara Juana,191.42,0.00,95.42,0.00,95.42,,0.00,0.00,0.00,0.00,96.00,,0.00,,Pass
79,35,Univ of Wisconsin - Milwaukee,UWM Motorsports ,189.59,108.59,81.00,0.00,81.00,,52.14,0.00,56.45,0.00,0.00,,0.00,,Pass
80,49,Embry-Riddle Aero Univ - Daytona Beach,Lady Eagles,168.36,0.00,168.36,64.53,103.83,,0.00,0.00,0.00,0.00,0.00,,0.00,,Pass
81,20,Middle Tennessee State Univ,Blue Raider Baja ,150.31,0.00,102.31,1.00,101.31,,0.00,0.00,0.00,0.00,48.00,,0.00,,Pass
82,62,Univ of Memphis,Tiger Baja,135.65,83.65,52.00,0.00,52.00,,52.23,0.00,31.42,0.00,0.00,,0.00,,Pass
83,88,Christian Brothers College,PJ cubed,123.65,0.00,123.65,32.92,90.73,,0.00,0.00,0.00,0.00,0.00,,0.00,,
84,65,Krishna Institute of Engrg & Technology,Immortals,116.30,0.00,116.30,76.30,40.00,,0.00,0.00,0.00,0.00,0.00,,0.00,,
85,11,US Air Force Academy,USAF Academy,103.00,0.00,39.00,0.00,39.00,,0.00,0.00,0.00,0.00,64.00,,0.00,,Pass
86,55,Texas A & M - Kingsville,Javalina Engineers,88.13,0.00,88.13,0.00,88.13,,0.00,0.00,0.00,0.00,0.00,,0.00,,
87,12,Manhattan College,Jasper Racing,76.26,0.00,76.26,46.87,29.39,,0.00,0.00,0.00,0.00,0.00,,0.00,,Pass
88,41,ITESM - Campus San Luis Potosi,JUGGERNAUT ,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,,
,29,Worcester Polytechnic Inst,WPI SAE,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,
,30,Univ of Vermont,Catamount Racing ,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,
,32,Univ of North Carolina - Charlotte,UNCC 49ers ,59.54,0.00,59.54,0.00,59.54,,0.00,0.00,0.00,0.00,0.00,,0.00,No,
,34,Universidad Simon Bolivar,Baja SAE USB,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,
,48,Univ of Calif - Los Angeles,UCLA Racing,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,
,63,Northwestern Univ,Northwestern Mini Baja,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,
,81,Univ of Iowa,Hawkeye Motor Sports,65.60,0.00,65.60,0.00,65.60,,0.00,0.00,0.00,0.00,0.00,,0.00,No,
,84,Southern Methodist Univ,SMU motorsports ,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,
,87,James Madison Univ,JMU Mini Baja,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,
,89,Newark College of Engineering,Garden State Racing,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,
,96,Louisiana Tech Univ,FreshTrax,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,No,
,100,UNEXPO Barquisimeto,GUAROS BAJA TEAM,37.50,0.00,37.50,0.00,37.50,,0.00,0.00,0.00,0.00,0.00,,0.00,No,