Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design Event (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Hill Climb (75),Suspension (75),Endurance (400),Comp Penalty,Registered,Passed Tech,Passed Tech On Time,Public Comments
1,4,Rochester Institute of Technology,RIOT RACING,931.91,276.82,278.62,76.62,155,47,65.48,73.77,62.56,75,376.47,0,TRUE,TRUE,TRUE,
2,3,Univ of Michigan - Ann Arbor,Michigan Baja Racing,931.14,235.14,294,100,148,46,75,73.27,75,11.88,402,0,TRUE,TRUE,TRUE,
3,19,Cornell Univ,Cornell Baja,923.45,274.07,248.37,74.37,143,31,61.74,75,64.61,72.73,401,0,TRUE,TRUE,TRUE,
4,48,Government College of Engrg Pune,Team Nemesis Racing,881.79,242.66,270.5,82.5,140,48,69.5,70.35,66.57,36.24,368.63,0,TRUE,TRUE,TRUE,
5,1,Ecole De Technologie Superieure,ETS Motorsports,865.59,242.21,262.6,89.6,130,43,55.7,70.36,51.71,64.44,360.78,0,TRUE,TRUE,TRUE,
6,7,Univ of Akron,Zips Baja,847.63,235.53,219.94,57.94,120,42,57.91,61.54,53.21,62.87,392.16,0,TRUE,TRUE,TRUE,
7,5,Northeastern Univ,Skunkworks,804.58,235.97,223.51,61.51,120,42,48.84,70.06,50.57,66.5,345.1,0,TRUE,TRUE,TRUE,
8,84,Univ of Nebraska - Lincoln,Husker Racing,794.68,232.69,252.69,71.69,140,41,56.92,62.21,50.09,63.47,384.31,75,TRUE,TRUE,TRUE,Endurance Impound Violation
9,82,Univ of Maryland - Baltimore County,UMBC Racing,752.38,230.4,192.57,83.57,70,39,51.82,61.95,56.16,60.46,329.41,0,TRUE,TRUE,TRUE,
10,71,Maharashtra Institute of Technology,Team Piranha racing,715.14,211.39,213.55,80.55,90,43,67.96,69.49,60.89,13.05,290.2,0,TRUE,TRUE,TRUE,
11,29,Clarkson University,Golden Knights Racing,714.95,264.41,152.5,66,70,16.5,64.22,72.11,62.06,66.02,298.04,0,TRUE,TRUE,TRUE,
12,76,Case Western Reserve Univ,CWRU Motorsports,705.15,212.69,178.73,61.73,80,37,67.38,73.52,58.75,13.05,313.73,0,TRUE,TRUE,TRUE,
13,8,San Diego State Univ,Aztec Baja,700.81,131.49,208.54,72.54,100,36,63.32,0,55.12,13.05,360.78,0,TRUE,TRUE,TRUE,
14,9,Pennsylvania College of Technology,PCTBaja,694.14,219.95,113.4,54.4,20,39,59.17,72.92,48.83,39.03,360.78,0,TRUE,TRUE,TRUE,
15,17,Western New England University,Golden Bear Racing,684.02,213.21,141.4,67.4,50,24,39.24,64.58,50.77,58.63,329.41,0,TRUE,TRUE,TRUE,
16,26,Univ of Maryland - College Park,Terps Racing,673.61,152.96,238.3,75.3,120,43,49.38,64.65,28.42,10.51,282.35,0,TRUE,TRUE,TRUE,
17,43,Miami Univ,Redhawk Racing,644.72,180.53,119.09,33.59,60,25.5,48.66,63.7,55.12,13.05,345.1,0,TRUE,TRUE,TRUE,
18,89,California Polytechnic State Univ-SLO,Cal Poly Racing,633.18,192.12,182.23,58.73,90,33.5,24.13,66.78,42.7,58.52,258.82,0,TRUE,TRUE,TRUE,
19,22,North Carolina A & T State Univ,Aggie Racing,618.44,219.95,131.83,48.33,50,33.5,51.59,68.02,36.13,64.21,266.67,0,TRUE,TRUE,TRUE,
20,39,Queen's Univ,Queen's Baja,612.51,114.58,176.36,58.36,90,28,49.11,0,59.42,6.05,321.57,0,TRUE,TRUE,TRUE,
21,44,Univ of Central Florida,Knights Racing,605.78,229.99,242.46,83.96,135,23.5,59.13,69.62,63.35,37.89,133.33,0,TRUE,TRUE,TRUE,
22,50,Arizona State Univ Polytechnic,Sun Devil Racing,605.07,118.49,227.75,74.25,130,23.5,55.83,0,56.55,6.11,258.82,0,TRUE,TRUE,TRUE,
23,12,Univ of Nevada - Las Vegas,Rebel Racing,599.39,217.71,138.55,34.05,80,24.5,42.26,65.23,45.19,65.02,243.14,0,TRUE,TRUE,TRUE,
24,86,Cleveland State Univ,Vikings Racing,597.67,221.02,133.52,74.52,30,29,42.57,68.44,43.06,66.94,243.14,0,TRUE,TRUE,TRUE,
25,11,McMaster Univ,McMaster Baja Racing,577.15,130.49,187.83,64.33,100,23.5,27.83,54.65,36.17,11.85,258.82,0,TRUE,TRUE,TRUE,
26,95,Michigan Tech Univ,Blizzard Baja,561.96,80.24,136.63,70.63,50,16,27.87,0,39.82,12.55,345.1,0,TRUE,TRUE,TRUE,
27,85,West Virginia Univ Inst of Tech,Golden Bear Racing,556.08,160.9,128.52,57.52,40,31,40.72,66.2,40.92,13.05,266.67,0,TRUE,TRUE,TRUE,
28,59,SUNY Inst of Tech - Utica,Wildcat Motorsports,537.02,175.17,87.34,36.34,40,11,35.72,58.01,38.84,42.59,274.51,0,TRUE,TRUE,TRUE,
29,102,Ohio Northern Univ,Polar Bear Racing,532.91,164.11,164.87,51.37,90,23.5,54.71,58.63,38.9,11.88,203.92,0,TRUE,TRUE,TRUE,
30,45,Maharaja Agrasen Institute Of Tech,Team Jatayu,513.93,221.66,143.25,56.25,60,27,62.42,64.47,58.53,36.24,149.02,0,TRUE,TRUE,TRUE,
31,54,Harding Univ,Bison Baja,512.4,159.12,149.35,61.85,60,27.5,42.98,63.68,43.54,8.92,203.92,0,TRUE,TRUE,TRUE,
32,66,Bucknell Univ,Bucknell Baja,509.92,197.62,100.53,35.53,30,35,41.09,60.54,50.4,45.6,211.76,0,TRUE,TRUE,TRUE,
33,88,Univ of Pittsburgh - Johnstown,Steel Panther Racing,504.57,194.79,74.49,36.49,20,18,45.41,64.38,48.75,36.24,235.29,0,TRUE,TRUE,TRUE,
34,23,Univ of Illinois - Urbana Champaign,Off-Road Illini,504.33,181.18,142.76,44.76,70,28,56.15,69.18,42.8,13.05,180.39,0,TRUE,TRUE,TRUE,
35,21,Univ of Rochester,Yellow Jacket Racing,497.22,177.53,178.51,60.51,90,28,57.28,59.42,49.57,11.26,141.18,0,TRUE,TRUE,TRUE,
36,32,St Clair County Community College,SC4 Baja,495.73,178.62,121.03,70.03,30,21,30.8,52.25,42.85,52.72,196.08,0,TRUE,TRUE,TRUE,
37,87,Millersville Univ of PA,Millersville SAE,461.32,133.02,108.7,53.7,30,25,29,27.55,29.92,46.55,219.61,0,TRUE,TRUE,TRUE,
38,73,Kettering Univ,Bulldog Racing,460.7,191.64,151.41,83.91,40,27.5,54.57,72.68,26.98,37.41,117.65,0,TRUE,TRUE,TRUE,
39,105,Grove City College,Grove City Racing,449.77,104.17,118.15,33.15,60,25,51.01,0,40.08,13.07,227.45,0,TRUE,TRUE,TRUE,
40,18,Virginia Tech,VT Baja,435.71,143.56,174.51,74.51,60,40,28.55,62.43,42.18,10.4,117.65,0,TRUE,TRUE,TRUE,
41,74,Northwestern Univ,Northwestern Univ,434.56,151.99,149.24,40.74,80,28.5,41.63,57.84,42.02,10.51,133.33,0,TRUE,TRUE,TRUE,
42,123,Penn State Univ - Altoona,Penn State Altoona  Motorsports,433.84,192.93,107.58,49.08,40,18.5,32.92,55.8,47.78,56.43,133.33,0,TRUE,TRUE,TRUE,
43,68,Louisiana Tech Univ,Mud Dawg Racing,423.1,144.8,160.65,45.65,90,25,31.12,46.22,38.19,29.27,117.65,0,TRUE,TRUE,TRUE,
44,56,College of New Jersey,TCNJ MotorLions,417.69,59.7,146.22,64.22,50,32,25.39,0,27.34,6.97,211.76,0,TRUE,TRUE,TRUE,
45,25,Olin College of Engineering,Olin Baja,411.07,100.04,162.01,59.01,60,43,49.11,0,39.05,11.88,149.02,0,TRUE,TRUE,TRUE,
46,90,Universite de Sherbrooke,Sherbrooke Racing Team,407.06,69.24,79,15,40,24,34.5,0,34.74,0,258.82,0,TRUE,TRUE,FALSE,
47,101,Univ of Arkansas - Fayetteville,Full Boar Racing,399.56,109.54,109.62,44.62,30,35,46.72,0,55.85,6.97,180.39,0,TRUE,TRUE,TRUE,
48,103,SUNY - Buffalo,UB Motorsports,392.57,86.54,211.91,84.91,100,27,31.57,0,41.92,13.05,94.12,0,TRUE,TRUE,TRUE,
49,47,Central Michigan Univ,Chippewa Performance,392,173.7,194.78,76.78,80,38,44.87,64.88,41.28,22.66,23.53,0,TRUE,TRUE,TRUE,
50,81,Univ of Tennessee - Martin,Utm Baja SAE,385.78,129.76,107,15,60,32,59.08,0,47.43,23.25,149.02,0,TRUE,TRUE,TRUE,
51,96,Lipscomb Univ,Lipscomb Motorsports,382.27,80.76,105.43,48.93,40,16.5,41.13,0,27.7,11.93,196.08,0,TRUE,TRUE,TRUE,
52,99,West Virginia Univ,Mountaineers,378.79,148.22,199.19,84.19,80,35,26.88,64.67,32.2,24.48,31.37,0,TRUE,TRUE,TRUE,
53,92,Alfred Univ,Saxon Racing,375.66,169.59,182.54,67.54,70,45,45.82,67.73,45.25,10.79,23.53,0,TRUE,TRUE,TRUE,
54,77,Louisiana State Univ,Baja Bengals,369.05,204.47,117.51,34.01,70,13.5,43.3,65.55,36.33,59.3,47.06,0,TRUE,TRUE,TRUE,
55,104,Union College,Dutchman Racing,367.18,148.19,101.34,49.84,20,31.5,32.34,36.95,38.9,40.01,117.65,0,TRUE,TRUE,TRUE,
56,42,Missouri University of Science and Tech,Miner Baja,363.26,145.79,178.26,75.26,70,33,27.29,62.29,32.37,23.84,39.22,0,TRUE,TRUE,TRUE,
57,52,Virginia Western Comm Coll,VWCC Baja,360.25,120.48,98.6,60.6,20,18,20.43,57.99,42.06,0,141.18,0,TRUE,TRUE,TRUE,
58,100,Lawrence Technological Univ,Blue Devil Motorsports,351.7,148.78,108.8,32.3,60,16.5,48.3,53.42,40.64,6.41,94.12,0,TRUE,TRUE,TRUE,
59,13,York College of Pennsylvania,Spartan Baja,333.81,82.87,156.82,68.82,60,28,42.12,0,27.7,13.05,94.12,0,TRUE,TRUE,TRUE,
60,65,Univ of Alabama - Tuscaloosa,Bama Racing,331.97,133.57,119.97,58.47,40,21.5,35.54,0,39.28,58.76,78.43,0,TRUE,TRUE,TRUE,
61,60,Rowan Univ,RowanMotorsports,316.22,56,142.57,73.57,30,39,4.96,0,39.14,11.9,117.65,0,TRUE,TRUE,TRUE,
62,30,George Washington Univ,George Washington University,307.18,86.04,111.34,53.84,40,17.5,17.41,0,30.99,37.64,109.8,0,TRUE,TRUE,TRUE,
63,40,Michigan State Univ,MSU Baja,304.09,114.66,158.06,50.56,70,37.5,52.81,0,48.81,13.05,31.37,0,TRUE,TRUE,TRUE,
64,64,Clemson Univ,CUBaja Racing,288.92,0,85,15,70,0,0,0,0,0,203.92,0,TRUE,TRUE,FALSE,
65,14,Georgia Institute of Technology,GT Off Road,285.57,119.87,157.86,69.86,50,38,18.85,57.95,27.34,15.72,7.84,0,TRUE,TRUE,TRUE,
66,67,Univ of Missouri - Kansas City,UMKC Baja Racing,282.46,104.71,115,15,70,30,21.69,60.36,22.66,0,62.75,0,TRUE,TRUE,FALSE,
67,98,Univ of Illinois - Chicago,UIC Motorsports,280.83,171.64,85.66,36.66,30,19,25.21,58.22,26.98,61.23,23.53,0,TRUE,TRUE,TRUE,
68,20,Stevens Institute of Technology,Dirty Ducks Racing,280.82,78.1,85.07,69.07,0,16,0,46.97,31.13,0,117.65,0,TRUE,TRUE,TRUE,
69,110,Instituto Tecnologico de Queretaro,Baja SAE ITQ,273.73,107.49,103.5,15,70,18.5,13.8,61.45,32.24,0,62.75,0,TRUE,FALSE,FALSE,
70,137,Lake Superior State Univ,Superior Baja Racing,251.13,115.14,10.5,0,0,10.5,3.29,32.05,37.41,42.4,125.49,0,TRUE,TRUE,TRUE,
71,122,Keimyung University,Speeding,248.95,73.42,112.79,35.79,60,17,25.66,0,35.86,11.9,62.75,0,TRUE,TRUE,TRUE,
72,79,New York University,NYU Tandon Motorsports,244.99,57.53,85.5,15,50,20.5,27.33,0,30.19,0,101.96,0,TRUE,TRUE,FALSE,
73,63,Univ of Wisconsin - Stout,Blue Devil Racing,241.76,78.34,77.15,18.65,40,18.5,32.43,0,32.89,13.02,86.27,0,TRUE,TRUE,TRUE,
74,62,University of Mount Union,Raider Racing Team,238.39,72.57,142.29,61.79,60,20.5,31.89,0,28.78,11.9,23.53,0,TRUE,TRUE,TRUE,
75,75,Northern Illinois Univ,NIU Baja Racing,230.08,99.12,29,5,0,24,13.89,50.77,34.46,0,101.96,0,TRUE,TRUE,FALSE,
76,55,North Carolina State Univ - Raleigh,WM Racing,197.27,73.84,45,15,10,20,47.4,0,26.44,0,78.43,0,TRUE,TRUE,FALSE,
77,35,Johns Hopkins Univ,Blue Jay Racing,193.64,0,193.64,66.14,110,17.5,0,0,0,0,0,0,TRUE,TRUE,TRUE,
78,83,Buffalo State College,Buffalo State Motorsport,157.97,77.39,80.57,30.57,30,20,11.59,44.76,21.05,0,0,0,TRUE,TRUE,TRUE,
79,31,Univ of Notre Dame,Irish Racing,128.45,1.56,126.89,57.89,50,19,0,0,0,1.56,0,0,TRUE,TRUE,TRUE,
80,24,Ecole National D'Aerotechnique,Baja ENA,126.33,34.8,68,15,30,23,0,0,34.8,0,23.53,0,TRUE,TRUE,FALSE,
81,109,Citadel,Bulldog Baja,96.96,26.05,70.92,45.92,10,15,3.02,0,23.02,0,0,0,TRUE,TRUE,TRUE,
82,41,Binghamton Univ,bingbaja,92,0,92,15,50,27,0,0,0,0,0,0,TRUE,TRUE,FALSE,
83,16,Lokmanya Tilak College of Engineering,LTJSS RACING INDIA,86,0,86,15,50,21,0,0,0,0,0,0,TRUE,TRUE,FALSE,
84,61,Wentworth Inst of Tech,WIT Baja,70.5,0,70.5,15,40,15.5,0,0,0,0,0,0,TRUE,FALSE,FALSE,
85,93,Western Carolina Univ,WCU Baja,67.22,24.1,43.12,43.12,0,0,0,0,24.1,0,0,0,TRUE,TRUE,TRUE,
86,106,Embry-Riddle Aero Univ - Daytona Beach,Lady Eagles,64,0,64,5,40,19,0,0,0,0,0,0,TRUE,FALSE,FALSE,
87,28,George Mason Univ,Mason Racing,51,0,51,15,20,16,0,0,0,0,0,0,TRUE,FALSE,FALSE,
88,58,Univ of Virginia,Virginia Motorsports,25.1,10.1,15,15,0,0,10.1,0,0,0,0,0,TRUE,TRUE,FALSE,
89,10,New Jersey Institute of Technology,Highlander Racing,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
89,27,Univ of Louisville,Speed Motorsports,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
89,33,Cairo University,BCURT,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
89,34,"D Y Patil College Of Engineering, Akurdi",Team Predators,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
89,49,Univ of Helwan,BHU,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,
89,53,Southern New Hampshire Univ,Penmen Motorsports,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,