Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Sales Presentation (50),Acceleration (75),Maneuverability (75),Hill Climb (75),Rock Crawl (75),Endurance (400),Adjustments,Registered,Passed Tech,Passed Tech On Time,Public Comments
1,92,Ecole de Technologie Superieure,Baja ETS,952.87,253.61,310.69,83.69,155,72,70,70,63.53,50.08,388.57,0,TRUE,TRUE,TRUE,
2,57,Oregon State Univ,Beaver Racing,910.94,254.95,255.99,74.99,110,71,54.08,69.35,61.52,70,400,0,TRUE,TRUE,TRUE,
3,101,Cornell Univ,Cornell Baja Racing,850.75,218.3,266.74,69.74,120,77,68.16,69.67,63.1,17.38,365.71,0,TRUE,TRUE,TRUE,
4,90,Univ of Michigan - Ann Arbor,Michigan Baja Racing,849.54,180.5,280.47,84.47,120,76,60.73,64.92,50.21,4.64,388.57,0,TRUE,TRUE,TRUE,
5,27,Purdue Univ - W Lafayette,Purdue Baja Racing,831.19,193.63,260.42,69.42,130,61,66.82,52.91,70,3.9,377.14,0,TRUE,TRUE,TRUE,
6,95,Case Western Reserve Univ,CWRU Motorsports,820.09,191.85,239.67,29.67,140,70,61.26,67.39,58.5,4.7,388.57,0,TRUE,TRUE,TRUE,
7,35,California Polytechnic State Univ-SLO,Cal Poly Racing,719.55,186.31,247.52,74.52,130,43,59.99,62.15,59.53,4.64,285.71,0,TRUE,TRUE,TRUE,
8,99,Rochester Institute of Technology,RIOT RACING,702.54,173.3,277.81,86.81,120,71,49.84,64.75,55.19,3.53,251.43,0,TRUE,TRUE,TRUE,
9,98,Youngstown State Univ,Penguin Baja Racing,686.64,128.18,227.04,35.04,145,47,43.79,58.03,23.26,3.09,331.43,0,TRUE,TRUE,TRUE,
10,13,Johns Hopkins Univ,Blue Jay Racing,679.88,174.18,242.85,63.85,120,59,54.22,53.42,61.28,5.26,262.86,0,TRUE,TRUE,TRUE,
11,93,Université Laval,Alerion,676.33,196.09,171.67,56.67,70,45,60.56,67.01,63.51,5.01,308.57,0,TRUE,TRUE,TRUE,
12,96,North Carolina State Univ - Raleigh,Pack Motorsports,653.54,185.36,136.76,11.76,90,35,61.05,61.94,57.42,4.95,331.43,0,TRUE,TRUE,TRUE,
13,84,Virginia Tech,VT Baja,626.83,200.01,221.1,74.1,100,47,62.08,63.35,69.26,5.32,205.71,0,TRUE,TRUE,TRUE,
14,24,IPN - UPIITA,Ocelot Racing,617.4,125.53,229.01,58.01,120,51,58.47,0,62.61,4.45,262.86,0,TRUE,TRUE,TRUE,
15,100,Northeastern Univ,Baja SAE Northeastern,616.47,172.01,238.75,59.75,130,49,58.19,60.96,49.34,3.53,205.71,0,TRUE,TRUE,TRUE,
16,85,The Ohio State University,Baja Buckeyes,610.49,163.62,161.15,61.15,90,10,51.18,62.29,46.86,3.28,285.71,0,TRUE,TRUE,TRUE,
17,107,Univ of Illinois - Urbana Champaign,Off-Road Illini Baja SAE,588.75,173.26,244.07,52.07,130,62,54.05,62.15,51.62,5.44,171.43,0,TRUE,TRUE,TRUE,
18,25,Utah State University,USU Baja,571.32,109.05,153.69,52.69,50,51,11.85,48.89,43,5.32,308.57,0,TRUE,TRUE,TRUE,
19,102,Univ of Akron,Zips Baja,571,140.5,144.79,64.79,70,10,45.24,53.71,38.08,3.46,285.71,0,TRUE,TRUE,TRUE,
20,103,Tennessee Tech Univ,TN Tech Baja,563.63,101.35,183,62,70,51,40.68,46.77,10.38,3.53,354.29,-75,TRUE,TRUE,TRUE,Incorrect Documentation
21,109,McGill Univ,McGill Baja Racing,543.03,125.99,222.76,51.76,110,61,57.69,59.83,5.31,3.15,194.29,0,TRUE,TRUE,TRUE,
22,87,Oregon Inst of Tech,OTR,542.44,67.52,143.49,40.49,50,53,16.09,26.79,21.73,2.91,331.43,0,TRUE,TRUE,TRUE,
23,58,San Diego State Univ,Aztec Baja Racing,541.82,122.21,122.46,62.46,50,10,59.21,0,60.34,2.66,297.14,0,TRUE,TRUE,TRUE,
24,108,Georgia Institute of Technology,GT Off-Road,540.12,91.05,209.07,14.07,120,75,37.85,0,49.86,3.34,240,0,TRUE,TRUE,TRUE,
25,14,California State Poly Univ - Pomona,Bronco Racing,530.48,113.51,188.4,64.7,90,33.7,57.83,0,52.09,3.59,228.57,0,TRUE,TRUE,TRUE,
26,11,Univ of Calgary,Schulich Off Road,529.96,67.37,142.59,35.59,70,37,57.8,0,7.04,2.54,320,0,TRUE,TRUE,TRUE,
27,17,South Dakota School of Mines & Tech,Hardrocker Gold,528.57,119.27,192.16,53.16,80,59,47.47,60,6.17,5.63,217.14,0,TRUE,TRUE,TRUE,
28,89,Univ of Missouri - Kansas City,Roo Racing,526.13,109.03,211.39,76.39,80,55,33.92,21.75,50.45,2.91,205.71,0,TRUE,TRUE,TRUE,
29,48,Queen's Univ,Queen's baja SAE,523.9,91.35,215.4,55.6,100,59.8,43.05,39.05,5.98,3.28,217.14,0,TRUE,TRUE,TRUE,
30,105,Univ of Central Florida,Knights Racing,520.62,165.16,206.88,66.88,100,40,60.56,66.25,34.89,3.46,148.57,0,TRUE,TRUE,TRUE,
31,104,Univ of Calif - Los Angeles,Bruin Racing Baja,513.06,153.17,211.32,59.32,100,52,52.56,50.46,46.37,3.77,148.57,0,TRUE,TRUE,TRUE,
32,88,Clarkson University,Golden Knights Racing,498.54,120.83,171.99,46.99,70,55,36.04,44.52,35.76,4.51,205.71,0,TRUE,TRUE,TRUE,
33,28,Univ of Manitoba,Red Lion Racing,491.7,112.66,127.6,31.6,50,46,28.08,39.22,42.4,2.97,251.43,0,TRUE,TRUE,TRUE,
34,112,Univ of Maryland - Baltimore County,UMBC Racing,475.22,115.24,211.41,73.41,100,38,60.59,0,51.43,3.22,148.57,0,TRUE,TRUE,TRUE,
35,61,Univ of Arizona,Baja Wildcat Racing,455.79,73.84,199.09,60.09,80,59,34.31,37.99,0,1.55,182.86,0,TRUE,TRUE,TRUE,
36,38,Universidad De La Salle Bajio,Felinos,449.97,109.55,163.99,58.99,100,5,41.77,57.14,7.05,3.59,251.43,-75,TRUE,TRUE,TRUE,Incorrect Documentation
37,18,Univ of Colorado - Boulder,CU Boulder Baja,448.64,66.15,131.05,18.05,70,43,18.85,0,42.6,4.7,251.43,0,TRUE,TRUE,TRUE,
38,94,McMaster Univ,McMaster Baja Racing,427.87,43.57,224.3,51.3,100,73,31.62,0,8.55,3.4,160,0,TRUE,TRUE,TRUE,
39,21,Loyola Marymount Univ,Baja Lions Racing,417.34,110.06,113,8,60,45,25.01,27.17,21.74,36.14,194.29,0,TRUE,TRUE,TRUE,
40,37,Brigham Young University,BYU Baja,413.13,64.12,177.58,68.58,70,39,55.82,0,4.35,3.96,171.43,0,TRUE,TRUE,TRUE,
41,50,Montana State Univ - Bozeman,Bobcat Motorsports,410.59,46.37,112.79,62.79,40,10,34.49,0,7.25,4.64,251.43,0,TRUE,TRUE,TRUE,
42,49,Old Dominion Univ,Whiskey Throttle Racing,375.97,88.31,93.37,43.37,50,0,39.58,0,46.63,2.1,194.29,0,TRUE,TRUE,TRUE,
43,86,Western University,Western Baja SAE,358.51,136.79,96,12,50,34,38.31,54.54,36.47,7.48,125.71,0,TRUE,TRUE,TRUE,
44,22,Texas A&M Univ,Fightin' Texas Aggie Motorsports,354.56,77.74,173.96,59.96,70,44,50.51,0,25.07,2.16,102.86,0,TRUE,TRUE,TRUE,
45,106,SUNY - Buffalo,UB Motorsports,353.86,118.85,166.45,78.45,40,48,51.57,58.37,6.68,2.23,68.57,0,TRUE,TRUE,TRUE,
46,77,Kansas State Univ,Wildcat Offroad,338.13,0,109.56,39.56,60,10,0,0,0,0,228.57,0,TRUE,TRUE,TRUE,
47,16,Univ of San Diego,Torero Racing,324.42,48.85,127,15,60,52,43.47,0,0,5.38,148.57,0,TRUE,TRUE,TRUE,
48,23,K.J.Somaiya College of Engineering,RedShift Racing India,312.09,53.37,133,10,70,53,47.08,0,6.29,0,125.71,0,TRUE,TRUE,FALSE,
49,76,South Dakota State Univ,Desert Hare Offroad,311.04,65.22,120.11,46.11,30,44,23.24,31.03,7.17,3.77,125.71,0,TRUE,TRUE,TRUE,
50,62,Univ of Puerto Rico-Mayaquez,RUM Racing Baja,309.85,112.84,94.14,18.14,50,26,42.16,36.94,30.52,3.22,102.86,0,TRUE,TRUE,TRUE,
51,19,Univ of Nevada - Las Vegas,Rebel Racing,309.71,0,184,98,30,56,0,0,0,0,125.71,0,TRUE,TRUE,TRUE,
52,56,ITESM - Campus Guadalajara,Mad Rams,289.7,110.93,121.63,71.63,40,10,57.27,0,53.66,0,57.14,0,TRUE,TRUE,TRUE,
53,64,Seattle Pacific Univ,Falcon Racing,287.66,64.12,74.97,14.97,50,10,11.5,0,32.83,19.79,148.57,0,TRUE,TRUE,TRUE,
54,59,New Mexico Inst of Mining & Tech,Dirty Miners,265.21,35.21,150,13,100,37,0,0,30.07,5.13,80,0,TRUE,TRUE,TRUE,
55,74,Northern Arizona Univ,NAU Lumberjack Motorsports Baja,255.22,95.86,113.64,53.64,50,10,28.19,58.67,5.91,3.09,45.71,0,TRUE,TRUE,TRUE,
56,73,Univ of Calif - Irvine,Anteater Baja Racing,236.6,55.46,119,15,60,44,45.28,0,7.03,3.15,137.14,-75,TRUE,TRUE,TRUE,Incorrect Documentation
57,60,Manhattan College,Jasper Racing,221.64,48.96,58.39,13.39,40,5,9.2,0,39.76,0,114.29,0,TRUE,TRUE,TRUE,
58,51,California State Univ- Chico,Wildcat racing,215.8,13.77,202.03,62.03,130,10,5.06,0,5.99,2.72,0,0,TRUE,TRUE,TRUE,
59,44,California State Univ - Los Angeles,Rugged Eagle Motorsports,194.94,79.42,104.09,54.09,40,10,40.57,0,33.65,5.19,11.43,0,TRUE,TRUE,TRUE,
60,42,Univ of Iowa,Iowa Baja Racing,187.9,57.9,130,8,70,52,49.52,0,5.47,2.91,0,0,TRUE,TRUE,TRUE,
61,52,Cetys Universidad,CMB Racing,186.27,35.84,139,16,50,73,27.06,0,8.78,0,11.43,0,TRUE,TRUE,FALSE,
62,15,SUNY - Stony Brook,Stony Brook Motorsports,172.57,0,104,14,50,40,0,0,0,0,68.57,0,TRUE,TRUE,FALSE,
63,116,Southern Utah Univ,SUU Baja,163.48,29.05,43,8,30,5,10.72,12.95,2.54,2.84,91.43,0,TRUE,TRUE,TRUE,
64,68,Montana Tech,Montana Tech BAJA,132.66,6.24,115,7,50,58,0,0,4.57,1.67,11.43,0,TRUE,TRUE,TRUE,
65,43,California State Univ - Fullerton,CSUF Titan Racing,132.01,35.73,62,17,40,5,33.64,0,2.09,0,34.29,0,TRUE,TRUE,TRUE,
66,41,New York University,NYU Tandon Motorsports,111,0,111,12,60,39,0,0,0,0,0,0,TRUE,TRUE,FALSE,
67,32,San Jose State University,Spartan Racing Baja SAE,104.26,0,104.26,24.26,40,40,0,0,0,0,0,0,TRUE,TRUE,TRUE,
68,70,Univ of Nevada - Reno,Wolf Pack Racing,96,0,96,18,40,38,0,0,0,0,0,0,TRUE,TRUE,FALSE,
69,34,Stevens Institute of Technology,Stevens Baja,94,0,94,13,40,41,0,0,0,0,0,0,TRUE,TRUE,FALSE,
70,117,Purdue Univ - Northwest,Purdue NW Baja Racing,81,0,81,11,0,70,0,0,0,0,0,0,FALSE,FALSE,TRUE,
71,12,New Mexico State Univ,NMSU Motorsports,78,0,78,12,10,56,0,0,0,0,0,0,FALSE,FALSE,TRUE,
72,45,Univ of Oklahoma,Sooner Off-Road,72,0,72,18,0,54,0,0,0,0,0,0,FALSE,FALSE,TRUE,
73,55,Univ of Virginia,Virginia Motorsports,65.48,13.48,52,12,30,10,13.48,0,0,0,0,0,TRUE,TRUE,FALSE,
74,29,New Jersey Institute of Technology,Highlander racing,59,0,59,14,10,35,0,0,0,0,0,0,TRUE,FALSE,TRUE,
75,20,Univ of Tennessee -Chattanooga,Racing Mocs,58,0,58,15,0,43,0,0,0,0,0,0,FALSE,FALSE,TRUE,
76,40,LeTourneau Univ,Renegade Racing,57.29,0,23,8,5,10,0,0,0,0,34.29,0,FALSE,FALSE,TRUE,
77,36,Univ of Nebraska - Lincoln,Husker Racing,54,0,54,4,40,10,0,0,0,0,0,0,TRUE,FALSE,TRUE,
78,46,British Columbia Inst of Tech,BCIT BAJA,46,0,46,16,30,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
79,33,Oklahoma State Univ,Cowboy Racing,26,0,26,16,0,10,0,0,0,0,0,0,FALSE,FALSE,TRUE,
80,31,King Fahd Univ of Petroleum & Minerals,kfupm racing,25,0,25,10,5,10,0,0,0,0,0,0,FALSE,FALSE,TRUE,
81,115,Univ of Rochester,Yellow Jacket Racing,24,0,24,14,10,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,
82,30,Univ of Texas - Rio Grande,RGV Baja,24,0,24,14,10,0,0,0,0,0,0,0,TRUE,FALSE,TRUE,
83,54,Univ of British Columbia,UBC Baja,17,0,17,12,0,5,0,0,0,0,0,0,FALSE,FALSE,TRUE,
84,80,Arizona State Univ Polytechnic,Sun Devil Racing,17,0,17,7,0,10,0,0,0,0,0,0,FALSE,FALSE,TRUE,
85,71,Univ of Texas - El Paso,Madpete Motorsports,15,0,15,0,5,10,0,0,0,0,0,0,TRUE,FALSE,TRUE,
86,66,University of Mount Union,Mount Union,13,0,13,8,0,5,0,0,0,0,0,0,FALSE,FALSE,TRUE,