Rank,Car #,School,Team,Overall (1000),Overall Dynamic (300),Overall Static (300),Cost Event (100),Design (150),Business Presentation (50),Acceleration (75),Maneuverability (75),Pilot Pull (75),Suspension (75),Endurance (400),Adjustments,Registered,Passed Tech,Passed Tech On Time,Public Comments
1,62,Case Western Reserve Univ,CWRU Motorsports,885.48,252.03,240.6,64.6,100,76,68.43,69.4,44.2,70,392.86,0,TRUE,TRUE,TRUE,
2,54,Univ of Michigan - Ann Arbor,Michigan Baja Racing,853.19,211.73,298.6,95.6,126,77,68.8,65.83,25.7,51.4,342.86,0,TRUE,TRUE,TRUE,
3,55,Virginia Tech,VT Baja,827.21,261.63,201.3,74.3,80,47,57.78,67.88,67.38,68.59,364.29,0,TRUE,TRUE,TRUE,
4,68,Rochester Institute of Technology,RIOT RACING,820.55,194.18,297.8,97.8,129,71,51.56,65.59,18.09,58.94,328.57,0,TRUE,TRUE,TRUE,
5,64,Ecole de Technologie Superieure,Baja ETS,782.34,229.14,303.2,96.2,135,72,70,66.71,25.73,66.69,250,0,TRUE,TRUE,TRUE,
6,61,Cornell Univ,Cornell Baja Racing,773.33,247.75,261.3,76.3,110,75,66.79,70,48.13,62.83,264.29,0,TRUE,TRUE,TRUE,
7,96,Univ of Nevada - Las Vegas,Rebel Racing,725.13,117.03,208.1,92.1,60,56,60.48,0,53.29,3.26,400,0,TRUE,TRUE,TRUE,
8,59,McGill Univ,McGill Baja Racing,710.58,127.48,233.1,52.1,110,71,0,61.11,63.11,3.26,350,0,TRUE,TRUE,TRUE,
9,66,Youngstown State Univ,Penguin Baja Racing,698.81,132.61,216.2,49.2,120,47,40.31,45.57,43.47,3.26,350,0,TRUE,TRUE,TRUE,
10,51,Univ of Maryland - College Park,Terps Racing Baja,695.09,184.66,239,98,90,51,53.27,47.45,51.36,32.57,271.43,0,TRUE,TRUE,TRUE,
11,70,Univ of Maryland - Baltimore County,UMBC Racing,688.38,214.64,216.6,88.6,90,38,56.57,52.87,57.87,47.32,257.14,0,TRUE,TRUE,TRUE,
12,57,Johns Hopkins Univ,Blue Jay Racing,673.25,232.79,247.6,67.6,121,59,54.1,62.62,61.94,54.13,192.86,0,TRUE,TRUE,TRUE,
13,104,Michigan State University,MSU Baja Racing,653.13,220.85,143,41.7,50,51.3,51.83,59.63,45.68,63.71,364.29,-75,TRUE,TRUE,TRUE,Incorrect Documentation
14,60,Iowa State Univ,Cyclone Off-Road Racing,630.62,222.54,143.8,40.8,60,43,51,47.3,60.25,63.98,264.29,0,TRUE,TRUE,TRUE,
15,29,Univ of Akron,Zips Baja,590.98,184.1,142.6,72.6,60,10,42.98,44.99,47.88,48.24,264.29,0,TRUE,TRUE,TRUE,
16,58,The Ohio State University,Baja Buckeyes,570.86,201.52,137.2,67.2,60,10,44.38,49.51,57.19,50.44,307.14,-75,TRUE,TRUE,TRUE,Incorrect Documentation
17,11,Ohio Northern Univ,Polar Bear Racing,534.3,174.2,160.1,65.1,50,45,56.64,49.32,51.95,16.29,200,0,TRUE,TRUE,TRUE,
18,63,Pennsylvania College of Technology,PCT Baja,525.54,156.11,48,11,0,37,58.11,60.09,34.66,3.26,321.43,0,TRUE,TRUE,TRUE,
19,33,Quinnipiac University,Bobcat Racing,519.03,152.06,88.4,88.4,0,0,20.74,65.43,62.63,3.26,278.57,0,TRUE,TRUE,TRUE,
20,69,San Diego State Univ,Aztec Baja Racing,511.72,163.53,133.9,73.9,50,10,58.24,48.84,53.19,3.26,214.29,0,TRUE,TRUE,TRUE,
21,14,Grove City College,Grove City Racing,497.1,156.85,83.1,18.1,50,15,55.1,19.19,24.15,58.41,257.14,0,TRUE,TRUE,TRUE,
22,72,Michigan Tech Univ,Blizzard Baja Racing,479.65,192.72,165.5,43.5,50,72,42.98,62.68,38.96,48.1,121.43,0,TRUE,TRUE,TRUE,
23,107,Univ of Illinois - Urbana Champaign,Off-Road Illini,441.24,180.98,167.4,75.5,30,61.9,51.63,53.22,53.33,22.8,92.86,0,TRUE,TRUE,TRUE,
24,106,Ohio Univ,Bobcat Baja,433.14,157.23,90.2,70.2,20,0,11.92,56.35,69.41,19.54,185.71,0,TRUE,TRUE,TRUE,
25,67,Harding Univ,Bison Baja,413.52,193.95,91,9,30,52,52.3,49.97,43.99,47.69,128.57,0,TRUE,TRUE,TRUE,
26,52,Univ of Arizona,Baja Wildcat Racing,380.95,84.22,200.3,71.3,70,59,31.23,0,33.45,19.54,171.43,-75,TRUE,TRUE,TRUE,Incorrect Documentation
27,71,Arizona State Univ Polytechnic,Sun Devil Racing,377.13,201.55,47,7,30,10,35.57,54.8,53.67,57.51,128.57,0,TRUE,TRUE,TRUE,
30,110,Georgia Institute of Technology,GT Off Road,344.85,179.94,129.2,11.8,50,67.4,48.46,42.35,39.51,49.62,35.71,0,TRUE,TRUE,TRUE,
31,109,Univ of Southern Indiana,Screaming Eagles Racing,323.6,117.78,120.1,70.1,50,0,18.84,47.98,47.71,3.26,85.71,0,TRUE,TRUE,TRUE,
32,65,North Carolina A & T State Univ,Aggie Racing,315.49,78.76,65.3,17.3,20,28,27.99,0,50.78,0,171.43,0,TRUE,TRUE,TRUE,
33,98,Cincinnati State Technical Comm College,Cincy Baja,311.93,164.21,12,7,0,5,13.39,58.02,70,22.8,135.71,0,TRUE,TRUE,TRUE,
34,112,St Clair County Community College,SC4 Baja,347.88,40.38,107.5,31.5,30,46,24.35,0,12.78,3.26,200,0,TRUE,TRUE,TRUE,
34,112,St Clair County Community College,SC4 Baja,347.88,40.38,107.5,31.5,30,46,24.35,0,12.78,3.26,200,0,TRUE,TRUE,TRUE,
34,112,St Clair County Community College,SC4 Baja,301.88,40.38,61.5,31.5,30,0,24.35,0,12.78,3.26,200,0,TRUE,TRUE,TRUE,
35,83,Southern Illinois Univ - Edwardville,Cougar Baja,296.85,124.28,69,59,0,10,5.28,52.24,24.42,42.34,178.57,-75,TRUE,TRUE,TRUE,Incorrect Documentation
36,49,Univ of Missouri - Kansas City,Roo Racing,281.56,85.57,206.7,81.7,70,55,1.34,21.87,36.31,26.06,64.29,-75,TRUE,TRUE,TRUE,Incorrect Documentation
37,56,West Virginia Univ,Mountaineers,278.29,0,114,12,60,42,0,0,0,0,164.29,0,TRUE,TRUE,TRUE,
38,13,Univ of Dayton,UD Baja,278.05,130.01,90.9,50.9,40,0,38.84,36.92,50.98,3.26,57.14,0,TRUE,TRUE,TRUE,
39,48,Purdue Univ - Northwest,Purdue NW Baja Racing,265.71,61.98,182.3,48.3,60,74,48.13,13.85,0,0,21.43,0,TRUE,TRUE,TRUE,
40,82,University of Mount Union,Mount Union,244.84,89.84,5,0,0,5,35.63,50.95,0,3.26,150,0,TRUE,TRUE,TRUE,
41,101,Universidad Autonoma Estado Mexico,Sara Juana RT,241.29,103.92,108.8,74.7,0,34.1,42.78,26.03,28.59,6.51,28.57,0,TRUE,TRUE,TRUE,
42,85,Louisiana Tech Univ,Lady of The Mud,233.47,122.39,46.8,36.8,0,10,12.32,47.04,19.15,43.87,64.29,0,TRUE,TRUE,TRUE,
44,34,Olivet Nazarene Univ,ONU Tiger Racing,206.93,112.07,52,8,0,44,15.7,20.8,52.78,22.8,42.86,0,TRUE,TRUE,TRUE,
45,100,Univ of Cincinnati,Bearcat Baja,205.45,85.65,69.8,12,0,57.8,37.84,0,47.81,0,50,0,TRUE,TRUE,FALSE,
46,46,Univ of St Thomas,Tommie Motorsports,201.62,79.06,29.7,19.7,0,10,17.6,11.49,46.71,3.26,92.86,0,TRUE,TRUE,TRUE,
47,103,Virginia Military Inst,VMI Baja,200.89,56.55,137.2,58.1,40,39.1,0,0,53.29,3.26,7.14,0,TRUE,TRUE,TRUE,
48,32,Liberty Univ,Liberty Baja Racing,197.86,140.57,18,8,0,10,0,26.35,66.8,47.42,114.29,-75,TRUE,TRUE,TRUE,Incorrect Documentation
49,20,Kettering Univ,Kettering BAJA Team,159.12,86.69,51,6,30,15,38.54,11.65,33.24,3.26,21.43,0,TRUE,TRUE,TRUE,
50,42,Univ of Waterloo,University of Waterloo Baja SAE,153.03,71.46,53,12,40,1,5.58,0,62.63,3.26,28.57,0,TRUE,TRUE,TRUE,
50,42,Univ of Waterloo,University of Waterloo Baja SAE,222.03,71.46,122,12,40,70,5.58,0,62.63,3.26,28.57,0,TRUE,TRUE,TRUE,
51,50,Cleveland State Univ,Vikings Racing,140,0,90,6,30,54,0,0,0,0,50,0,TRUE,TRUE,FALSE,
52,89,Baylor Univ,Baylor Baja,138.8,39.76,91.9,32.9,0,59,13.56,9.01,10.68,6.51,7.14,0,TRUE,TRUE,TRUE,
53,26,Fairfield Univ,Fairfield University Racing,94.5,13.9,80.6,40.6,30,10,0,0,10.64,3.26,0,0,TRUE,TRUE,TRUE,
54,28,Instituto Tecnologico de Toluca,Escudería Halcón,93.1,0,93.1,83.1,0,10,0,0,0,0,0,0,FALSE,FALSE,TRUE,
55,80,Oregon Inst of Tech,OTR,67,0,67,14,0,53,0,0,0,0,0,0,FALSE,FALSE,TRUE,
56,114,New York University,NYU Tandon Motorsports,63.5,0,63.5,24.9,0,38.6,0,0,0,0,0,,TRUE,FALSE,TRUE,
57,97,Western Colorado Univ,Mad Jack Racing,59,0,59,0,0,59,0,0,0,0,0,0,FALSE,FALSE,TRUE,
58,77,Univ of Alabama - Tuscaloosa,Bama Racing,59,0,59,8,0,51,0,0,0,0,0,0,FALSE,FALSE,TRUE,
59,27,West Virginia Univ Inst of Tech,Golden Bear Racing,57.3,0,57.3,57.3,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,
60,99,New Mexico State Univ,NMSU Motorsports,56,0,56,0,0,56,0,0,0,0,0,0,FALSE,FALSE,TRUE,
61,25,Instituto Tecnologico de Chihuahua,Panteras Racing,52,0,52,7,40,5,0,0,0,0,0,0,TRUE,FALSE,TRUE,
62,81,Memorial Univ of Newfoundland,Memorial Baja,51,0,51,8,0,43,0,0,0,0,0,,TRUE,FALSE,TRUE,
63,38,Shippensburg University,Shippensburg University Baja,44,0,44,8,0,36,0,0,0,0,0,0,TRUE,FALSE,TRUE,
64,44,Univ of Michigan - Flint,Vehicle City Baja,39,0,39,0,0,39,0,0,0,0,0,0,FALSE,FALSE,TRUE,
65,45,Toronto Metropolitan University,Toronto Metropolitan Baja Racing,38,0,38,0,0,38,0,0,0,0,0,0,FALSE,FALSE,TRUE,
66,18,Syracuse Univ,Cuse Baja,35,0,35,10,20,5,0,0,0,0,0,0,TRUE,TRUE,TRUE,
67,37,Univ of Wisconsin - Milwaukee,BrewCity Baja,20,0,20,0,0,20,0,0,0,0,0,0,FALSE,FALSE,TRUE,
68,36,Western Kentucky Univ,Wild Toppers,18,0,18,8,0,10,0,0,0,0,0,0,TRUE,TRUE,FALSE,
69,19,Penn State Univ - Altoona,Penn State,17.14,0,10,0,0,10,0,0,0,0,7.14,0,FALSE,FALSE,TRUE,
70,43,Acropolis Inst of Technology Research,AcroracerZ,12,0,12,12,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,
71,90,Ferris State University,Ferris State Baja Racing Club,12,0,12,7,0,5,0,0,0,0,0,0,FALSE,FALSE,TRUE,
72,41,Univ of Missouri,Mizzou Baja SAE Racing,10,0,10,10,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,
73,88,Universidad Autonoma De Nuevo Leon,TigreMotors UANL,10,0,10,10,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,
74,21,Middle Tennessee State Univ,MTSU motorsports,10,0,10,0,0,10,0,0,0,0,0,0,FALSE,FALSE,TRUE,
75,22,IPN - Esime Azcapotcalco,Marabunta,10,0,10,0,0,10,0,0,0,0,0,0,FALSE,FALSE,TRUE,
76,75,Miami Univ,MU Redhawk Racing,7,0,7,2,0,5,0,0,0,0,0,0,FALSE,FALSE,TRUE,
77,30,Western Carolina Univ,Mini Baja Team at WCU,5,0,5,0,0,5,0,0,0,0,0,0,FALSE,FALSE,TRUE,
78,47,Wentworth Inst of Tech,WIT Leopard Racing,4,0,4,4,0,0,0,0,0,0,0,0,TRUE,TRUE,FALSE,
79,74,Penn State Univ - Harrisburg,ASME Baja Blast,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,
79,91,Olin College of Engineering,Olin Baja,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,TRUE,